ID,Preise,Shortlist?,Schriftart
RoswithaHaring2004,,,Courier
GuyHelminger2004,3sat,,Times New Roman
ArnoGeiger2004,,,Times New Roman
BettinaBalàka2004,,,Arial
FarhadShowghi2003,3sat,,Palatino
NorbertMüller2003,,,Palatino
ChristinaGriebel2003,,,Arial
ChristineRinderknecht2003,,,Arial
KatrindeVries2003,,,Bookman
SusanneFischer2003,,,Courier
HenningAhrens2003,,,Times New Roman
UllaLenze2003,Ernst Willner,,Garamond
SünjeLewejohann2003,,,Garamond
FeridunZaimoglu2003,Jury,,Courier
LukasHammerstein2003,,,Arial
MichaelStauffer2003,,,Times New Roman
KristofSchreuf2003,,,Arial
GregorHens2003,,,Times New Roman
OlgaFlor2003,,,Arial
ChristofHamann2003,,,Times New Roman
InkaParei2003,"Bachmann, Publikum",,Times New Roman
OswaldEgger2003,,,Garamond
JörgMatheis2002,,,Arial
NinaJäckle2002,,,Arial
MarkusRamseier2002,,,Arial
HeinzDHeisl2002,,,Times New Roman
LukasBärfuß2002,,,Arial
MirkoBonné2002,Ernst Willner,,Arial
PeterGlaser2002,Bachmann,,Times New Roman
ChristophWBauer2002,"kelag, Publikum",,Times New Roman
DanielZahno2002,,,
RogerMonnerat2002,,,Times New Roman
NorbertZähringer2002,,,Times New Roman
AnnettePehnt2002,Jury,,Times New Roman
ElfriedeKern2002,,,Arial
HelgaGlantschnig2002,,,Courier
MelanieArns2002,,,Arial
RaphaelUrweider2002,3sat,,Times New Roman
LudwigLaher2001,,,
HeinerLink2001,,,
AntjeRávicStrubel2001,Ernst Willner,,
NorbertMüller2001,,,
UteChristineKrupp2001,,,
BrigitteSchär2001,,,
MichaelLentz2001,Bachmann,,
AnnegretHeld2001,,,
TanjaLanger2001,,,
RobertFischer2001,,,
JennyErpenbeck2001,Jury,,
UlrichSchlotmann2001,,,
KatrinAskan2001,3sat,,
ArturBecker2001,,,
PhilippTingler2001,,,
RainerMerkel2001,,,
DavidWagner2000,Stipendium,,
DanielGoetsch2000,,,
JuliaFranck2000,3sat,,
MalinSchwerdtfeger2000,Stipendium,,
BirgitMüllerWieland2000,,,
StephanAlfare2000,,,
GeorgKlein2000,Bachmann,,
BirgitKempker2000,,,
MartinAmanshauser2000,,,
AndreasMaier2000,Ernst Willner,,
MartinaKieninger2000,,,
GeorgMOswald2000,,,
SusanneRiedel2000,Jury,,
StephanReimertz2000,,,
PatrickKokontis2000,,,
UlrikeDraesner2000,,,
KatharinaHacker1999,,,
ThomasKapielski1999,,,
PatriciaGörg1999,Telecom-Stipendium,,
ChristianUetz1999,3sat,,
GudrunSeidenauer1999,,,
VladimirVertlib1999,,,
MonikaHelfer1999,,,
ThomasJonigk1999,,,
TeréziaMora1999,Bachmann,,
RuthErat1999,,,
UrsulaFricker1999,,,
ThorKunkel1999,Ernst Willner,,
PeterStamm1999,,,
StefanBeuse1999,Kärnten,,
AglajaVeteranyi1999,,,
ChristianMähr1999,,,
MichaelLentz1998,,,
