,year,name,living_place,is_chairman,got_sick
333,2011,Burkhard Spinnen,Münster,True,
334,2011,Meike Feßmann,Berlin,,
335,2011,Paul Jandl,Salzburg,,
336,2011,Daniela Strigl,Wien,,
337,2011,Alain Claude Sulzer,Basel,,
338,2011,Hubert Winkels,Düsseldorf,,
339,2012,Burkhard Spinnen,Münster,True,
340,2012,Corina Caduff,Zürich,,
341,2012,Meike Feßmann,Berlin,,
342,2012,Paul Jandl,Salzburg,,
343,2012,Hildegard Elisabeth Keller,Bloomington (USA),,
344,2012,Daniela Strigl,Wien,,
345,2012,Hubert Winkels,Köln,,
346,2013,Burkhard Spinnen,Münster,True,
347,2013,Meike Feßmann,Berlin,,
348,2013,Paul Jandl,Salzburg,,
349,2013,Hildegard Elisabeth Keller,Bloomington (USA),,
350,2013,Juri Steiner,Zürich,,
351,2013,Daniela Strigl,Wien,,
352,2013,Hubert Winkels,Köln,,
353,2014,Hubert Winkels,,True,
354,2014,Sandra Kegel,Frankfurt/Main,,
355,2014,Stefan Gmünder,"",,
356,2014,Klaus Kastberger,Graz,,
357,2014,Meike Feßmann,Berlin,,
358,2014,Hildegard Elisabeth Keller,Bloomington (USA),,
359,2014,Daniela Strigl,Wien,,
360,2015,Hubert Winkels,Köln,True,
361,2015,Klaus Kastberger,Graz,,
362,2015,Sandra Kegel,Frankfurt/Main,,
363,2015,Meike Feßmann,Berlin,,
364,2015,Stefan Gmünder,"",,
365,2015,Hildegard Elisabeth Keller,Bloomington (USA),,
366,2015,Juri Steiner,Zürich,,
367,2016,Hubert Winkels,Köln,True,
368,2016,Klaus Kastberger,Graz,,
369,2016,Sandra Kegel,Frankfurt/Main,,
370,2016,Meike Feßmann,Berlin,,
371,2016,Stefan Gmünder,"",,
372,2016,Hildegard Elisabeth Keller,Bloomington (USA),,
373,2016,Juri Steiner,Zürich,,
374,2017,Hubert Winkels,Köln,True,
375,2017,Stefan Gmünder,"",,
376,2017,Klaus Kastberger,Graz,,
377,2017,Sandra Kegel,Frankfurt/Main,,
378,2017,Meike Feßmann,Berlin,,
379,2017,Hildegard Elisabeth Keller,Bloomington (USA),,
380,2017,Michael Wiederstein,Zürich,,
381,2018,Hubert Winkels,Köln,True,
382,2018,Stefan Gmünder,"",,
383,2018,Nora Gomringer,Bamberg,,
384,2018,Klaus Kastberger,Graz,,
385,2018,Hildegard Elisabeth Keller,Bloomington (USA),,
386,2018,Michael Wiederstein,Zürich,,
387,2018,Insa Wilke,Frankfurt/Main,,
388,2019,Hubert Winkels,Köln,True,
389,2019,Stefan Gmünder,"",,
390,2019,Nora Gomringer,Bamberg,,
391,2019,Klaus Kastberger,Graz,,
392,2019,Hildegard Elisabeth Keller,Bloomington (USA),,
393,2019,Michael Wiederstein,Zürich,,
394,2019,Insa Wilke,Frankfurt/Main,,
395,2020,Hubert Winkels,Köln,True,
396,2020,Nora Gomringer,Bamberg,,
397,2020,Klaus Kastberger,Graz,,
398,2020,Brigitte Schwens-Harrant,Wien,,
399,2020,Philipp Tingler,Zürich,,
400,2020,Michael Wiederstein,Zürich,,
401,2020,Insa Wilke,Frankfurt/Main,,
,1990,Werner Liersch,Berlin-Ost,,
"",2002,Robert Schindel,Wien,True,
