author_id,book_title,publisher,release_year,perlentaucher_url
36,"Stark und leise. Pionierinnen",Jung und Jung Verlag,2015,"https://www.perlentaucher.de/buch/ursula-krechel/stark-und-leise.html"
36,"Die da. Ausgewählte Gedichte",Jung und Jung Verlag,2013,"https://www.perlentaucher.de/buch/ursula-krechel/die-da.html"
36,"Landgericht. Roman",Jung und Jung Verlag,2012,"https://www.perlentaucher.de/buch/ursula-krechel/landgericht.html"
36,"Jäh erhellte Dunkelheit. Gedichte",Jung und Jung Verlag,2010,"https://www.perlentaucher.de/buch/ursula-krechel/jaeh-erhellte-dunkelheit.html"
36,"Shanghai fern von wo. Roman",Jung und Jung Verlag,2008,"https://www.perlentaucher.de/buch/ursula-krechel/shanghai-fern-von-wo.html"
36,"Mittelwärts. Gedicht",zu Klampen Verlag,2006,"https://www.perlentaucher.de/buch/ursula-krechel/mittelwaerts.html"
36,"Stimmen aus dem harten Kern. Gedichte",Jung und Jung Verlag,2005,"https://www.perlentaucher.de/buch/ursula-krechel/stimmen-aus-dem-harten-kern.html"
36,"In Zukunft schreiben. Handbuch für alle, die schreiben wollen",Jung und Jung Verlag,2003,"https://www.perlentaucher.de/buch/ursula-krechel/in-zukunft-schreiben.html"
36,"Der Übergriff. Erzählung",Jung und Jung Verlag,2001,"https://www.perlentaucher.de/buch/ursula-krechel/der-uebergriff.html"
37,"Porträt eines jungen Mannes aus alter Zeit. Roman",Weissbooks,2016,"https://www.perlentaucher.de/buch/hermann-kinder/portraet-eines-jungen-mannes-aus-alter-zeit.html"
37,"Der Weg allen Fleisches. Erzählung",Weissbooks,2014,"https://www.perlentaucher.de/buch/hermann-kinder/der-weg-allen-fleisches.html"
37,"Mein Melaten. Der Methusalem-Roman",Zweitausendeins Verlag,2007,"https://www.perlentaucher.de/buch/hermann-kinder/mein-melaten.html"
37,"Die klassische Sau. Hörbuch der literarischen Hocherotik. 2 CDs",Eichborn Verlag,2003,"https://www.perlentaucher.de/buch/hermann-kinder/die-klassische-sau.html"
37,"Himmelhohes Krähengeschrei. Erzählung",Libelle Verlag,2000,"https://www.perlentaucher.de/buch/hermann-kinder/himmelhohes-kraehengeschrei.html"
38,"Fremde Mutter. Roman",Otto Müller Verlag,2006,"https://www.perlentaucher.de/buch/christine-haidegger/fremde-mutter.html"
40,"Wenn der Mann im Mond erwacht. Ein Regelverstoß",Ammann Verlag,2008,"https://www.perlentaucher.de/buch/christoph-geiser/wenn-der-mann-im-mond-erwacht.html"
40,"Grünsee. Brachland. Zwei Romane",Ammann Verlag,2006,"https://www.perlentaucher.de/buch/christoph-geiser/gruensee-brachland.html"
40,"Über Wasser. Passagen",Ammann Verlag,2003,"https://www.perlentaucher.de/buch/christoph-geiser/ueber-wasser.html"
42,"Mondbeben. Roman",Jung und Jung Verlag,2020,"https://www.perlentaucher.de/buch/ludwig-fels/mondbeben.html"
42,"Die Hottentottenwerft. Roman",Jung und Jung Verlag,2015,"https://www.perlentaucher.de/buch/ludwig-fels/die-hottentottenwerft.html"
42,"Egal wo das Ende der Welt liegt. Gedichte",Jung und Jung Verlag,2010,"https://www.perlentaucher.de/buch/ludwig-fels/egal-wo-das-ende-der-welt-liegt.html"
42,"Die Parks von Palilula. Roman",Jung und Jung Verlag,2009,"https://www.perlentaucher.de/buch/ludwig-fels/die-parks-von-palilula.html"
42,"Reise zum Mittelpunkt des Herzens. Roman",Jung und Jung Verlag,2006,"https://www.perlentaucher.de/buch/ludwig-fels/reise-zum-mittelpunkt-des-herzens.html"
42,"Krums Versuchung. Roman",Europa Verlag,2003,"https://www.perlentaucher.de/buch/ludwig-fels/krums-versuchung.html"
43,"Tod & Flora. Ein Glossar über die Verwendung von Giftpflanzen für den asthenischen Täter",Jung und Jung Verlag,2009,"https://www.perlentaucher.de/buch/helmut-eisendle/tod-flora.html"
43,"Ein Stück des blauen Himmels. Roman",Residenz Verlag,2003,"https://www.perlentaucher.de/buch/helmut-eisendle/ein-stueck-des-blauen-himmels.html"
